{ Id = 1, UserId = 29, FirstName = rew, LastName = wer, ActionType = LoginFailed, DateTime = 02/09/2022 16:35:34 }
{ Id = 83, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Exit, DateTime = 04/09/2022 17:22:08 }

{ Id = 84, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Crush, DateTime = 04/09/2022 17:24:50 }

{ Id = 85, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = StartUp, DateTime = 04/09/2022 17:24:50 }

{ Id = 86, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Exit, DateTime = 04/09/2022 17:24:51 }

{ Id = 87, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Crush, DateTime = 04/09/2022 17:27:12 }

{ Id = 88, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = StartUp, DateTime = 04/09/2022 17:27:12 }

{ Id = 89, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Exit, DateTime = 04/09/2022 17:27:13 }

{ Id = 90, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Crush, DateTime = 04/09/2022 17:28:20 }

{ Id = 91, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = StartUp, DateTime = 04/09/2022 17:28:20 }

{ Id = 92, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Exit, DateTime = 04/09/2022 17:28:22 }

{ Id = 93, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Crush, DateTime = 04/09/2022 17:28:25 }

{ Id = 94, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = StartUp, DateTime = 04/09/2022 17:28:25 }

{ Id = 95, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Exit, DateTime = 04/09/2022 17:28:26 }

{ Id = 96, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Crush, DateTime = 04/09/2022 17:30:02 }

{ Id = 97, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = StartUp, DateTime = 04/09/2022 17:30:03 }

{ Id = 98, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Exit, DateTime = 04/09/2022 17:30:06 }

{ Id = 99, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Crush, DateTime = 04/09/2022 17:31:32 }

{ Id = 100, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = StartUp, DateTime = 04/09/2022 17:31:32 }

{ Id = 101, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Exit, DateTime = 04/09/2022 17:31:35 }

{ Id = 102, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = StartUp, DateTime = 04/09/2022 17:32:35 }

{ Id = 103, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Exit, DateTime = 04/09/2022 17:32:36 }

{ Id = 104, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = StartUp, DateTime = 04/09/2022 17:33:01 }

{ Id = 105, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Exit, DateTime = 04/09/2022 17:33:02 }

{ Id = 106, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = Login, DateTime = 04/09/2022 17:40:41 }

{ Id = 107, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = Login, DateTime = 04/09/2022 17:41:11 }

{ Id = 108, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = Login, DateTime = 04/09/2022 17:42:40 }

{ Id = 109, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Crush, DateTime = 04/09/2022 17:42:42 }

{ Id = 110, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = StartUp, DateTime = 04/09/2022 17:42:42 }

{ Id = 111, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Exit, DateTime = 04/09/2022 17:42:44 }

{ Id = 112, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = StartUp, DateTime = 04/09/2022 17:54:30 }

{ Id = 113, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Exit, DateTime = 04/09/2022 17:54:31 }

{ Id = 114, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = Login, DateTime = 04/09/2022 18:04:36 }

{ Id = 115, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Crush, DateTime = 04/09/2022 18:04:36 }

{ Id = 116, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = StartUp, DateTime = 04/09/2022 18:04:36 }

{ Id = 117, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Exit, DateTime = 04/09/2022 18:04:37 }

{ Id = 118, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = Login, DateTime = 04/09/2022 18:05:09 }

{ Id = 119, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Crush, DateTime = 04/09/2022 18:05:09 }

{ Id = 120, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = StartUp, DateTime = 04/09/2022 18:05:09 }

{ Id = 121, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Exit, DateTime = 04/09/2022 18:05:10 }

{ Id = 122, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = Login, DateTime = 04/09/2022 18:05:33 }

{ Id = 123, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Crush, DateTime = 04/09/2022 18:05:33 }

{ Id = 124, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = StartUp, DateTime = 04/09/2022 18:05:33 }

{ Id = 125, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Exit, DateTime = 04/09/2022 18:05:35 }

{ Id = 126, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = Login, DateTime = 04/09/2022 18:07:55 }

{ Id = 127, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Crush, DateTime = 04/09/2022 18:07:55 }

{ Id = 128, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = StartUp, DateTime = 04/09/2022 18:07:55 }

{ Id = 129, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Exit, DateTime = 04/09/2022 18:08:05 }

{ Id = 130, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = Login, DateTime = 04/09/2022 18:10:33 }

{ Id = 131, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = Login, DateTime = 04/09/2022 18:10:35 }

{ Id = 132, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Crush, DateTime = 04/09/2022 18:10:35 }

{ Id = 133, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = StartUp, DateTime = 04/09/2022 18:10:35 }

{ Id = 134, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Exit, DateTime = 04/09/2022 18:10:36 }

{ Id = 135, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = Login, DateTime = 04/09/2022 18:12:58 }

{ Id = 136, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = Login, DateTime = 04/09/2022 18:12:59 }

{ Id = 137, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Crush, DateTime = 04/09/2022 18:13:00 }

{ Id = 138, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = StartUp, DateTime = 04/09/2022 18:13:00 }

{ Id = 139, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Exit, DateTime = 04/09/2022 18:13:04 }

{ Id = 140, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = Login, DateTime = 04/09/2022 18:15:33 }

{ Id = 141, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Crush, DateTime = 04/09/2022 18:15:33 }

{ Id = 142, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = StartUp, DateTime = 04/09/2022 18:15:33 }

{ Id = 143, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Exit, DateTime = 04/09/2022 18:15:33 }

{ Id = 144, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = StartUp, DateTime = 04/09/2022 18:25:24 }

{ Id = 145, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Exit, DateTime = 04/09/2022 18:25:26 }

{ Id = 146, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = StartUp, DateTime = 04/09/2022 18:28:54 }

{ Id = 147, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Exit, DateTime = 04/09/2022 18:28:56 }

{ Id = 148, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = StartUp, DateTime = 04/09/2022 18:39:44 }

{ Id = 149, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Exit, DateTime = 04/09/2022 18:39:45 }

{ Id = 150, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = StartUp, DateTime = 04/09/2022 18:42:06 }

{ Id = 151, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Exit, DateTime = 04/09/2022 18:42:07 }

{ Id = 152, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = StartUp, DateTime = 04/09/2022 18:51:02 }

{ Id = 153, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Exit, DateTime = 04/09/2022 18:51:02 }

{ Id = 154, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = Login, DateTime = 04/09/2022 19:13:17 }

{ Id = 155, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = StartUp, DateTime = 04/09/2022 19:13:17 }

{ Id = 156, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = Logoff, DateTime = 04/09/2022 19:13:19 }

{ Id = 157, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = Exit, DateTime = 04/09/2022 19:13:19 }

{ Id = 158, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = Login, DateTime = 04/09/2022 19:13:28 }

{ Id = 159, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = StartUp, DateTime = 04/09/2022 19:13:28 }

{ Id = 160, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = Logoff, DateTime = 04/09/2022 19:13:29 }

{ Id = 161, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = Exit, DateTime = 04/09/2022 19:13:29 }

{ Id = 162, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = StartUp, DateTime = 04/09/2022 19:21:59 }

{ Id = 163, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Exit, DateTime = 04/09/2022 19:22:02 }

{ Id = 164, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = StartUp, DateTime = 04/09/2022 19:23:06 }

{ Id = 165, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Exit, DateTime = 04/09/2022 19:23:08 }

{ Id = 166, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = StartUp, DateTime = 04/09/2022 19:31:15 }

{ Id = 167, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Exit, DateTime = 04/09/2022 19:31:16 }

{ Id = 168, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = Login, DateTime = 04/09/2022 19:33:06 }

{ Id = 169, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = StartUp, DateTime = 04/09/2022 19:33:06 }

{ Id = 170, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = Logoff, DateTime = 04/09/2022 19:33:07 }

{ Id = 171, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = Exit, DateTime = 04/09/2022 19:33:07 }

{ Id = 172, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = Login, DateTime = 04/09/2022 19:56:06 }

{ Id = 173, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = StartUp, DateTime = 04/09/2022 19:56:06 }

{ Id = 174, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = Logoff, DateTime = 04/09/2022 19:56:29 }

{ Id = 175, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = Exit, DateTime = 04/09/2022 19:56:29 }

{ Id = 176, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = Login, DateTime = 04/09/2022 19:57:27 }

{ Id = 177, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = StartUp, DateTime = 04/09/2022 19:57:27 }

{ Id = 178, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Crush, DateTime = 04/09/2022 20:00:24 }

{ Id = 179, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = Login, DateTime = 04/09/2022 20:00:24 }

{ Id = 180, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = StartUp, DateTime = 04/09/2022 20:00:24 }

{ Id = 181, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Crush, DateTime = 04/09/2022 20:08:24 }

{ Id = 182, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Crush, DateTime = 08/09/2022 15:34:13 }

{ Id = 183, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Crush, DateTime = 10/09/2022 23:00:39 }

{ Id = 184, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = Login, DateTime = 10/09/2022 23:00:39 }

{ Id = 185, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = StartUp, DateTime = 10/09/2022 23:00:39 }

{ Id = 186, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = Logoff, DateTime = 10/09/2022 23:01:17 }

{ Id = 187, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = Exit, DateTime = 10/09/2022 23:01:17 }

{ Id = 188, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = Login, DateTime = 10/09/2022 23:02:02 }

{ Id = 189, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = StartUp, DateTime = 10/09/2022 23:02:03 }

{ Id = 190, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = Logoff, DateTime = 10/09/2022 23:03:39 }

{ Id = 191, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = Exit, DateTime = 10/09/2022 23:03:39 }

{ Id = 192, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = Login, DateTime = 14/09/2022 22:39:42 }

{ Id = 193, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = StartUp, DateTime = 14/09/2022 22:39:42 }

{ Id = 194, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = Logoff, DateTime = 14/09/2022 22:40:52 }

{ Id = 195, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = Exit, DateTime = 14/09/2022 22:40:52 }

{ Id = 196, UserId = 43, FirstName = Leonard, LastName = Ibiza, ActionType = Register, DateTime = 15/09/2022 01:32:32 }

{ Id = 197, UserId = 44, FirstName = Joshua, LastName = Qawai, ActionType = Register, DateTime = 15/09/2022 01:33:07 }

{ Id = 198, UserId = 45, FirstName = Berko, LastName = Witch, ActionType = Register, DateTime = 15/09/2022 01:33:40 }

{ Id = 199, UserId = 46, FirstName = Moe, LastName = Doe, ActionType = Register, DateTime = 15/09/2022 01:33:59 }

{ Id = 200, UserId = 47, FirstName = Aya, LastName = Aharonsob, ActionType = Register, DateTime = 15/09/2022 01:34:31 }

{ Id = 201, UserId = 48, FirstName = Yoakhim, LastName = Beb, ActionType = Register, DateTime = 15/09/2022 01:35:17 }

{ Id = 202, UserId = 49, FirstName = Yuli, LastName = Frekhet, ActionType = Register, DateTime = 15/09/2022 01:35:43 }

{ Id = 203, UserId = 50, FirstName = Zohar, LastName = Beirut, ActionType = Register, DateTime = 15/09/2022 01:36:16 }

{ Id = 204, UserId = 51, FirstName = Bebi, LastName = Obaba, ActionType = Register, DateTime = 15/09/2022 01:36:36 }

{ Id = 205, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Crush, DateTime = 15/09/2022 01:36:39 }

{ Id = 206, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Exit, DateTime = 15/09/2022 04:50:24 }

{ Id = 207, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Exit, DateTime = 15/09/2022 05:05:29 }

{ Id = 208, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = Login, DateTime = 15/09/2022 05:05:30 }

{ Id = 209, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = StartUp, DateTime = 15/09/2022 05:05:30 }

{ Id = 210, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = Logoff, DateTime = 15/09/2022 05:05:53 }

{ Id = 211, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = Exit, DateTime = 15/09/2022 05:05:53 }

{ Id = 212, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Exit, DateTime = 15/09/2022 05:07:20 }

{ Id = 213, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Exit, DateTime = 15/09/2022 05:07:48 }

{ Id = 214, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = Login, DateTime = 15/09/2022 05:07:48 }

{ Id = 215, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = StartUp, DateTime = 15/09/2022 05:07:48 }

{ Id = 216, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = Logoff, DateTime = 15/09/2022 05:08:57 }

{ Id = 217, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = Exit, DateTime = 15/09/2022 05:08:57 }

{ Id = 218, UserId = 41, FirstName = NO_USER, LastName = NO_USER, ActionType = Exit, DateTime = 15/09/2022 05:09:15 }

{ Id = 219, UserId = 42, FirstName = Joee, LastName = Montana, ActionType = Login, DateTime = 15/09/2022 05:09:15 }

